sku,box_id,utilization,price_try
SKU-000001,BOX-000015,0.393,42.25
SKU-000002,BOX-000057,0.436,51.0
SKU-000003,BOX-000002,0.8372,15.49
SKU-000004,BOX-000013,0.3533,31.79
SKU-000005,BOX-000015,0.3617,42.25
SKU-000006,BOX-000044,0.3778,17.58
SKU-000007,BOX-000015,0.4437,42.25
SKU-000008,BOX-000057,0.5392,51.0
SKU-000009,BOX-000034,0.5787,20.66
SKU-000010,BOX-000008,0.5579,41.95
SKU-000011,BOX-000037,0.7246,60.41
SKU-000012,BOX-000054,0.2784,14.0
SKU-000013,BOX-000013,0.3101,31.79
SKU-000014,BOX-000054,0.5652,14.0
SKU-000015,BOX-000042,0.4743,40.82
SKU-000016,BOX-000044,0.4126,17.58
SKU-000017,BOX-000057,0.5411,51.0
SKU-000018,BOX-000042,0.5759,40.82
SKU-000019,BOX-000012,0.4137,26.72
SKU-000020,BOX-000054,0.5555,14.0
SKU-000021,BOX-000035,0.4306,33.29
SKU-000022,BOX-000056,0.707,26.0
SKU-000023,BOX-000044,0.1362,17.58
SKU-000024,BOX-000012,0.5605,26.72
SKU-000025,BOX-000036,0.5594,54.82
SKU-000026,BOX-000056,0.6051,26.0
SKU-000027,BOX-000054,0.4058,14.0
SKU-000028,BOX-000015,0.3722,42.25
SKU-000029,BOX-000049,0.1845,20.25
SKU-000030,BOX-000049,0.587,20.25
SKU-000031,BOX-000012,0.7686,26.72
SKU-000032,BOX-000034,0.6046,20.66
SKU-000033,BOX-000036,0.5276,54.82
SKU-000034,BOX-000057,0.5322,51.0
SKU-000035,BOX-000056,0.7567,26.0
SKU-000036,BOX-000044,0.1245,17.58
SKU-000037,BOX-000057,0.5104,51.0
SKU-000038,BOX-000056,0.7336,26.0
SKU-000039,BOX-000035,0.3256,33.29
SKU-000040,BOX-000035,0.4059,33.29
SKU-000041,BOX-000056,0.7965,26.0
SKU-000042,BOX-000054,0.3837,14.0
SKU-000043,BOX-000056,0.5403,26.0
SKU-000044,BOX-000054,0.2618,14.0
SKU-000045,BOX-000015,0.5832,42.25
SKU-000046,BOX-000054,0.4061,14.0
SKU-000047,BOX-000054,0.6089,14.0
SKU-000048,BOX-000056,0.6388,26.0
SKU-000049,BOX-000054,0.4327,14.0
SKU-000050,BOX-000049,0.2735,20.25
SKU-000051,BOX-000042,0.4122,40.82
SKU-000052,BOX-000015,0.4726,42.25
SKU-000053,BOX-000036,0.4516,54.82
SKU-000054,BOX-000049,0.4352,20.25
SKU-000055,BOX-000050,0.5184,38.88
SKU-000056,BOX-000015,0.6339,42.25
SKU-000057,BOX-000051,0.5243,41.31
SKU-000058,BOX-000015,0.41,42.25
SKU-000059,BOX-000057,0.5828,51.0
SKU-000060,BOX-000057,0.1465,51.0
SKU-000061,BOX-000052,0.7105,42.31
SKU-000062,BOX-000003,0.7615,26.52
SKU-000063,BOX-000012,0.2359,26.72
SKU-000064,BOX-000057,0.1392,51.0
SKU-000065,BOX-000057,0.5361,51.0
SKU-000066,BOX-000056,0.6824,26.0
SKU-000067,BOX-000056,0.8142,26.0
SKU-000068,BOX-000053,0.2931,68.04
SKU-000069,BOX-000056,0.7567,26.0
SKU-000070,BOX-000016,0.7152,28.46
SKU-000071,BOX-000036,0.489,54.82
SKU-000072,BOX-000036,0.5801,54.82
SKU-000073,BOX-000054,0.237,14.0
SKU-000074,BOX-000016,0.7755,28.46
SKU-000075,BOX-000015,0.4661,42.25
SKU-000076,BOX-000012,0.465,26.72
SKU-000077,BOX-000054,0.3093,14.0
SKU-000078,BOX-000056,0.6375,26.0
SKU-000079,BOX-000013,0.65,31.79
SKU-000080,BOX-000012,0.3096,26.72
SKU-000081,BOX-000054,0.2379,14.0
SKU-000082,BOX-000042,0.4009,40.82
SKU-000083,BOX-000012,0.3911,26.72
SKU-000084,BOX-000054,0.5976,14.0
SKU-000085,BOX-000015,0.3865,42.25
SKU-000086,BOX-000054,0.2707,14.0
SKU-000087,BOX-000035,0.3764,33.29
SKU-000088,BOX-000015,0.2469,42.25
SKU-000089,BOX-000054,0.3558,14.0
SKU-000090,BOX-000006,0.6787,32.14
SKU-000091,BOX-000057,0.5277,51.0
SKU-000092,BOX-000051,0.6907,41.31
SKU-000093,BOX-000012,0.1596,26.72
SKU-000094,BOX-000037,0.6963,60.41
SKU-000095,BOX-000036,0.4728,54.82
SKU-000096,BOX-000016,0.7008,28.46
SKU-000097,BOX-000036,0.4503,54.82
SKU-000098,BOX-000013,0.5602,31.79
SKU-000099,BOX-000036,0.6377,54.82
SKU-000100,BOX-000036,0.489,54.82
SKU-000101,BOX-000038,0.7149,50.12
SKU-000102,BOX-000013,0.3018,31.79
SKU-000103,BOX-000057,0.6813,51.0
SKU-000104,BOX-000054,0.6737,14.0
SKU-000105,BOX-000049,0.6079,20.25
SKU-000106,BOX-000050,0.6801,38.88
SKU-000107,BOX-000053,0.2743,68.04
SKU-000108,BOX-000034,0.4932,20.66
SKU-000109,BOX-000052,0.4289,42.31
SKU-000110,BOX-000044,0.4741,17.58
SKU-000111,BOX-000034,0.5269,20.66
SKU-000112,BOX-000013,0.686,31.79
SKU-000113,BOX-000015,0.3505,42.25
SKU-000114,BOX-000051,0.1826,41.31
SKU-000115,BOX-000042,0.5279,40.82
SKU-000116,BOX-000056,0.7585,26.0
SKU-000117,BOX-000057,0.5803,51.0
SKU-000118,BOX-000054,0.5028,14.0
SKU-000119,BOX-000056,0.684,26.0
SKU-000120,BOX-000005,0.4442,29.45
SKU-000121,BOX-000035,0.5368,33.29
SKU-000122,BOX-000012,0.1817,26.72
SKU-000123,BOX-000013,0.802,31.79
SKU-000124,BOX-000049,0.5851,20.25
SKU-000125,BOX-000054,0.2943,14.0
SKU-000126,BOX-000057,0.434,51.0
SKU-000127,BOX-000012,0.2298,26.72
SKU-000128,BOX-000056,0.634,26.0
SKU-000129,BOX-000017,0.5074,45911.0
SKU-000130,BOX-000035,0.4014,33.29
SKU-000131,BOX-000054,0.462,14.0
SKU-000132,BOX-000049,0.7348,20.25
SKU-000133,BOX-000054,0.2492,14.0
SKU-000134,BOX-000057,0.1517,51.0
SKU-000135,BOX-000036,0.7457,54.82
SKU-000136,BOX-000056,0.8742,26.0
SKU-000137,BOX-000042,0.3548,40.82
SKU-000138,BOX-000002,0.7043,15.49
SKU-000139,BOX-000054,0.3944,14.0
SKU-000140,BOX-000015,0.3767,42.25
SKU-000141,BOX-000054,0.2916,14.0
SKU-000142,BOX-000056,0.5625,26.0
SKU-000143,BOX-000054,0.395,14.0
SKU-000144,BOX-000057,0.6161,51.0
SKU-000145,BOX-000035,0.3345,33.29
SKU-000146,BOX-000057,0.5407,51.0
SKU-000147,BOX-000056,0.6162,26.0
SKU-000148,BOX-000042,0.1387,40.82
SKU-000149,BOX-000057,0.4251,51.0
SKU-000150,BOX-000013,0.6416,31.79
SKU-000151,BOX-000015,0.48,42.25
SKU-000152,BOX-000042,0.4583,40.82
SKU-000153,BOX-000015,0.4113,42.25
SKU-000154,BOX-000038,0.5465,50.12
SKU-000155,BOX-000035,0.383,33.29
SKU-000156,BOX-000036,0.5663,54.82
SKU-000157,BOX-000036,0.6286,54.82
SKU-000158,BOX-000012,0.2818,26.72
SKU-000159,BOX-000035,0.5467,33.29
SKU-000160,BOX-000015,0.368,42.25
SKU-000161,BOX-000042,0.1531,40.82
SKU-000162,BOX-000012,0.2633,26.72
SKU-000163,BOX-000036,0.5864,54.82
SKU-000164,BOX-000054,0.2779,14.0
SKU-000165,BOX-000013,0.2101,31.79
SKU-000166,BOX-000036,0.4551,54.82
SKU-000167,BOX-000042,0.3888,40.82
SKU-000168,BOX-000054,0.4872,14.0
SKU-000169,BOX-000036,0.4781,54.82
SKU-000170,BOX-000013,0.2808,31.79
SKU-000171,BOX-000002,0.8366,15.49
SKU-000172,BOX-000057,0.0913,51.0
SKU-000173,BOX-000051,0.5651,41.31
SKU-000174,BOX-000057,0.5462,51.0
SKU-000175,BOX-000002,0.6386,15.49
SKU-000176,BOX-000015,0.5163,42.25
SKU-000177,BOX-000054,0.1819,14.0
SKU-000178,BOX-000034,0.5595,20.66
SKU-000179,BOX-000013,0.4478,31.79
SKU-000180,BOX-000036,0.5837,54.82
SKU-000181,BOX-000054,0.2593,14.0
SKU-000182,BOX-000054,0.2061,14.0
SKU-000183,BOX-000036,0.6637,54.82
SKU-000184,BOX-000015,0.4298,42.25
SKU-000185,BOX-000036,0.5941,54.82
SKU-000186,BOX-000057,0.4644,51.0
SKU-000187,BOX-000049,0.2409,20.25
SKU-000188,BOX-000036,0.6598,54.82
SKU-000189,BOX-000013,0.3137,31.79
SKU-000190,BOX-000034,0.6641,20.66
SKU-000191,BOX-000056,0.5373,26.0
SKU-000192,BOX-000035,0.3629,33.29
SKU-000193,BOX-000002,0.7119,15.49
SKU-000194,BOX-000054,0.3147,14.0
SKU-000195,BOX-000056,0.7543,26.0
SKU-000196,BOX-000013,0.5136,31.79
SKU-000197,BOX-000056,0.7955,26.0
SKU-000198,BOX-000023,0.1544,45983.0
SKU-000199,BOX-000054,0.3108,14.0
SKU-000200,BOX-000057,0.543,51.0
SKU-000201,BOX-000056,0.5947,26.0
SKU-000202,BOX-000036,0.7646,54.82
SKU-000203,BOX-000052,0.5236,42.31
SKU-000204,BOX-000056,0.6026,26.0
SKU-000205,BOX-000052,0.4594,42.31
SKU-000206,BOX-000015,0.3933,42.25
SKU-000207,BOX-000015,0.5125,42.25
SKU-000208,BOX-000016,0.6968,28.46
SKU-000209,BOX-000056,0.62,26.0
SKU-000210,BOX-000054,0.6275,14.0
SKU-000211,BOX-000052,0.468,42.31
SKU-000212,BOX-000017,0.525,45911.0
SKU-000213,BOX-000016,0.862,28.46
SKU-000214,BOX-000054,0.4669,14.0
SKU-000215,BOX-000034,0.4219,20.66
SKU-000216,BOX-000057,0.1127,51.0
SKU-000217,BOX-000054,0.3289,14.0
SKU-000218,BOX-000054,0.3735,14.0
SKU-000219,BOX-000056,0.8667,26.0
SKU-000220,BOX-000013,0.5615,31.79
SKU-000221,BOX-000015,0.3493,42.25
SKU-000222,BOX-000056,0.5872,26.0
SKU-000223,BOX-000035,0.387,33.29
SKU-000224,BOX-000035,0.5065,33.29
SKU-000225,BOX-000052,0.3357,42.31
SKU-000226,BOX-000054,0.7009,14.0
SKU-000227,BOX-000015,0.4641,42.25
SKU-000228,BOX-000034,0.6473,20.66
SKU-000229,BOX-000005,0.7226,29.45
