sku,width_mm,length_mm,height_mm,weight_g,fragile,packaging_type,hazmat_class,extra_pack,extra_pack_width_mm,extra_pack_length_mm,extra_pack_price_try,extra_pack_type
SKU-000001,273.0,190.0,74.0,551.0,False,poşet,Corrosive-8,True,297.0,221.0,15.18,bubble_wrap
SKU-000002,371.0,185.0,108.0,1131.0,False,kutu,Corrosive-8,True,410.0,205.0,17.88,corner_guard
SKU-000003,197.0,204.0,160.0,983.0,False,zarf,Corrosive-8,True,222.0,237.0,13.22,bubble_wrap
SKU-000004,256.0,163.0,32.0,933.0,False,kavanoz,UN3481-Lithium_Ion_Battery,False,,,,
SKU-000005,266.0,246.0,54.0,391.0,True,poşet,Aerosol-2,True,292.0,275.0,18.84,corner_guard
SKU-000006,414.0,244.0,69.0,1055.0,False,cardboard_box,Flammable_Liquid-3,True,457.0,254.0,22.6,double_carton
SKU-000007,273.0,252.0,63.0,480.0,False,kavanoz,Compressed_Gas-2,False,,,,
SKU-000008,336.0,248.0,110.0,639.0,False,kavanoz,UN3481-Lithium_Ion_Battery,False,,,,
SKU-000009,115.0,131.0,121.0,317.0,False,cardboard_box,Corrosive-8,True,146.0,144.0,8.07,stretch_film
SKU-000010,304.0,334.0,211.0,1139.0,False,plastic_box,Compressed_Gas-2,True,345.0,374.0,25.45,foam_protector
SKU-000011,252.0,294.0,169.0,1442.0,True,kutu,Aerosol-2,True,277.0,337.0,18.86,stretch_film
SKU-000012,99.0,111.0,76.0,273.0,True,zarf,,True,119.0,146.0,8.05,bubble_wrap
SKU-000013,260.0,196.0,23.0,1202.0,True,cardboard_box,Compressed_Gas-2,True,299.0,219.0,15.99,stretch_film
SKU-000014,169.0,127.0,79.0,374.0,False,kavanoz,Flammable_Liquid-3,False,,,,
SKU-000015,353.0,312.0,104.0,1686.0,False,zarf,UN3481-Lithium_Ion_Battery,True,386.0,349.0,25.76,foam_protector
SKU-000016,349.0,266.0,82.0,1154.0,False,metal_box,Flammable_Liquid-3,False,,,,
SKU-000017,317.0,234.0,124.0,1244.0,False,poşet,Corrosive-8,True,344.0,269.0,19.73,foam_protector
SKU-000018,438.0,281.0,113.0,1868.0,False,kavanoz,Compressed_Gas-2,True,475.0,317.0,28.48,air_cushion
SKU-000019,214.0,189.0,27.0,1012.0,False,cardboard_box,Flammable_Liquid-3,False,,,,
SKU-000020,140.0,124.0,96.0,235.0,False,plastic_box,Compressed_Gas-2,True,160.0,161.0,9.26,bubble_wrap
SKU-000021,123.0,127.0,172.0,1174.0,False,kutu,Corrosive-8,True,149.0,140.0,8.48,double_carton
SKU-000022,285.0,194.0,130.0,958.0,False,metal_box,Flammable_Liquid-3,True,306.0,214.0,14.87,corner_guard
SKU-000023,410.0,227.0,27.0,1497.0,True,metal_box,Aerosol-2,True,432.0,262.0,21.78,corner_guard
SKU-000024,221.0,186.0,36.0,630.0,False,kavanoz,Flammable_Liquid-3,False,,,,
SKU-000025,231.0,261.0,151.0,753.0,False,poşet,Aerosol-2,False,,,,
SKU-000026,287.0,188.0,114.0,1004.0,False,plastic_box,Flammable_Liquid-3,True,311.0,224.0,15.7,corner_guard
SKU-000027,120.0,114.0,89.0,310.0,False,plastic_box,Flammable_Liquid-3,False,,,,
SKU-000028,261.0,199.0,70.0,581.0,False,kavanoz,UN3481-Lithium_Ion_Battery,True,300.0,217.0,14.77,corner_guard
SKU-000029,179.0,97.0,22.0,507.0,False,zarf,Compressed_Gas-2,False,,,,
SKU-000030,209.0,171.0,34.0,650.0,False,poşet,Corrosive-8,True,232.0,200.0,11.46,bubble_wrap
SKU-000031,238.0,203.0,42.0,521.0,False,kavanoz,,False,,,,
SKU-000032,111.0,133.0,129.0,425.0,False,cardboard_box,Compressed_Gas-2,False,,,,
SKU-000033,300.0,212.0,135.0,1268.0,False,metal_box,,False,,,,
SKU-000034,352.0,216.0,119.0,1640.0,False,metal_box,Aerosol-2,False,,,,
SKU-000035,326.0,207.0,114.0,988.0,False,plastic_box,Flammable_Liquid-3,False,,,,
SKU-000036,406.0,202.0,28.0,1561.0,True,metal_box,Aerosol-2,False,,,,
SKU-000037,387.0,236.0,95.0,2128.0,False,cardboard_box,Compressed_Gas-2,True,421.0,256.0,20.86,double_carton
SKU-000038,311.0,220.0,109.0,813.0,False,kavanoz,Corrosive-8,False,,,,
SKU-000039,113.0,101.0,178.0,956.0,False,kavanoz,Corrosive-8,True,156.0,118.0,9.76,double_carton
SKU-000040,111.0,124.0,184.0,1046.0,False,metal_box,Flammable_Liquid-3,False,,,,
SKU-000041,328.0,211.0,117.0,1244.0,False,plastic_box,UN3481-Lithium_Ion_Battery,True,361.0,242.0,18.44,bubble_wrap
SKU-000042,99.0,114.0,102.0,418.0,True,metal_box,UN3481-Lithium_Ion_Battery,True,131.0,147.0,7.52,bubble_wrap
SKU-000043,278.0,222.0,89.0,956.0,False,metal_box,Corrosive-8,False,,,,
SKU-000044,166.0,83.0,57.0,211.0,False,cardboard_box,Flammable_Liquid-3,True,191.0,106.0,8.22,corner_guard
SKU-000045,297.0,278.0,69.0,1787.0,False,zarf,Flammable_Liquid-3,True,323.0,299.0,19.98,double_carton
SKU-000046,178.0,118.0,58.0,315.0,False,zarf,Flammable_Liquid-3,True,197.0,155.0,9.44,stretch_film
SKU-000047,99.0,123.0,150.0,1304.0,False,plastic_box,Corrosive-8,True,135.0,154.0,8.37,bubble_wrap
SKU-000048,281.0,216.0,107.0,955.0,False,cardboard_box,Aerosol-2,False,,,,
SKU-000049,141.0,99.0,93.0,457.0,False,cardboard_box,Aerosol-2,False,,,,
SKU-000050,170.0,90.0,37.0,337.0,False,kavanoz,,False,,,,
SKU-000051,373.0,287.0,93.0,2107.0,False,poşet,Flammable_Liquid-3,True,407.0,320.0,24.52,bubble_wrap
SKU-000052,264.0,261.0,67.0,405.0,False,zarf,Compressed_Gas-2,True,301.0,287.0,17.46,corner_guard
SKU-000053,308.0,152.0,157.0,1335.0,False,plastic_box,Flammable_Liquid-3,True,343.0,177.0,14.14,bubble_wrap
SKU-000054,227.0,147.0,27.0,513.0,False,kutu,Compressed_Gas-2,False,,,,
SKU-000055,288.0,252.0,30.0,1030.0,False,kavanoz,UN3481-Lithium_Ion_Battery,True,322.0,271.0,17.59,double_carton
SKU-000056,351.0,252.0,70.0,521.0,False,plastic_box,UN3481-Lithium_Ion_Battery,True,386.0,262.0,19.67,stretch_film
SKU-000057,328.0,292.0,28.0,1555.0,False,poşet,Aerosol-2,True,347.0,331.0,22.91,double_carton
SKU-000058,332.0,208.0,58.0,611.0,False,poşet,Compressed_Gas-2,False,,,,
SKU-000059,314.0,227.0,139.0,1460.0,False,plastic_box,UN3481-Lithium_Ion_Battery,False,,,,
SKU-000060,394.0,218.0,29.0,1772.0,True,poşet,Compressed_Gas-2,True,423.0,228.0,19.06,air_cushion
SKU-000061,355.0,282.0,44.0,1142.0,False,cardboard_box,UN3481-Lithium_Ion_Battery,True,390.0,305.0,23.1,bubble_wrap
SKU-000062,346.0,221.0,183.0,564.0,False,plastic_box,,True,372.0,267.0,19.4,double_carton
SKU-000063,138.0,96.0,47.0,206.0,True,plastic_box,UN3481-Lithium_Ion_Battery,True,169.0,117.0,7.56,air_cushion
SKU-000064,376.0,242.0,26.0,1752.0,True,plastic_box,Compressed_Gas-2,True,393.0,252.0,20.09,air_cushion
SKU-000065,318.0,233.0,123.0,903.0,False,plastic_box,,False,,,,
SKU-000066,276.0,213.0,118.0,986.0,False,kutu,Aerosol-2,False,,,,
SKU-000067,298.0,224.0,124.0,1452.0,False,metal_box,UN3481-Lithium_Ion_Battery,False,,,,
SKU-000068,421.0,188.0,32.0,1668.0,False,plastic_box,,False,,,,
SKU-000069,299.0,201.0,128.0,1056.0,False,zarf,UN3481-Lithium_Ion_Battery,True,320.0,248.0,17.43,corner_guard
SKU-000070,218.0,274.0,50.0,586.0,True,metal_box,Compressed_Gas-2,True,240.0,298.0,15.49,bubble_wrap
SKU-000071,293.0,140.0,194.0,880.0,False,poşet,Corrosive-8,False,,,,
SKU-000072,292.0,236.0,137.0,1161.0,False,zarf,Flammable_Liquid-3,True,329.0,274.0,19.28,double_carton
SKU-000073,126.0,99.0,57.0,426.0,False,poşet,Flammable_Liquid-3,False,,,,
SKU-000074,274.0,223.0,53.0,401.0,False,kavanoz,Aerosol-2,True,290.0,251.0,17.22,stretch_film
SKU-000075,279.0,80.0,204.0,725.0,False,kavanoz,Corrosive-8,True,308.0,120.0,10.63,corner_guard
SKU-000076,240.0,155.0,33.0,960.0,False,plastic_box,Compressed_Gas-2,True,276.0,169.0,11.68,air_cushion
SKU-000077,169.0,90.0,61.0,494.0,False,metal_box,Corrosive-8,False,,,,
SKU-000078,329.0,197.0,100.0,523.0,False,plastic_box,Flammable_Liquid-3,False,,,,
SKU-000079,195.0,225.0,56.0,470.0,False,zarf,Flammable_Liquid-3,True,225.0,257.0,13.17,foam_protector
SKU-000080,163.0,109.0,46.0,331.0,True,cardboard_box,Aerosol-2,False,,,,
SKU-000081,153.0,88.0,53.0,618.0,False,cardboard_box,Flammable_Liquid-3,True,190.0,100.0,7.94,bubble_wrap
SKU-000082,392.0,252.0,98.0,1743.0,False,metal_box,Corrosive-8,True,427.0,267.0,22.66,double_carton
SKU-000083,229.0,167.0,27.0,689.0,True,cardboard_box,Compressed_Gas-2,True,253.0,178.0,11.65,air_cushion
SKU-000084,100.0,108.0,166.0,1545.0,False,poşet,Compressed_Gas-2,True,139.0,151.0,7.65,foam_protector
SKU-000085,319.0,194.0,61.0,398.0,False,poşet,Corrosive-8,True,356.0,224.0,17.99,double_carton
