category,brand,model,variant,width_cm,length_cm,height_cm,weight_kg,fragile,package_type,hazard_class,extra_package,extra_width_cm,extra_length_cm,extra_price_usd,extra_type,product_id,customer_id,basket_id,quantity,is_2d_only,height_cm_filled,volume_cm3,volume_to_weight_ratio,fragile_flag,requires_special_handling,extra_volume_cm3,shape_flag
Textile,SoftWear,Polar Jacket L, 38,27.3,19.0,"7,4",0.551,False,poly_bag,Corrosive-8,True,29.7,22.1,"15,18",bubble_wrap,1,1102,2000,3,False,7.4,3838.3800000000006,6966.206896551725,False,True,4857.138,poly_bag
Appliance,Philips,Handheld Vacuum,,37.1,18.5,"10,8",1.131,False,rigid_box,Corrosive-8,True,41.0,20.5,"17,88",corner_guard,2,1435,2006,3,False,10.8,7412.580000000001,6554.005305039788,False,True,9077.400000000001,rigid_box
Toy,ToyLand,Wooden Block Set 60 pcs,,19.7,20.4,"16,0",0.983,False,kraft_envelope,Corrosive-8,True,22.2,23.7,"13,22",bubble_wrap,3,1348,2013,1,False,16.0,6430.079999999999,6541.281790437435,False,True,8418.24,kraft_envelope
Book,Classic,Crime and Punishment,,25.6,16.3,"3,2",0.933,False,glass_jar,UN3481-Lithium_Ion_Battery,False,0.0,0.0,,,4,1270,2021,1,False,3.2,1335.2960000000003,1431.1854233654878,False,True,0.0,glass_jar
Textile,SoftWear,Hoodie L, 41,26.6,24.6,"5,4",0.391,True,poly_bag,Aerosol-2,True,29.2,27.5,"18,84",corner_guard,5,1106,2025,1,False,5.4,3533.544000000001,9037.196930946293,True,True,4336.200000000001,poly_bag
Appliance,Philips,Handheld Vacuum,,41.4,24.4,"6,9",1.055,False,cardboard_box,Flammable_Liquid-3,True,45.7,25.4,"22,6",double_carton,6,1071,2031,1,False,6.9,6970.103999999999,6606.733649289099,False,True,8009.3820000000005,cardboard_box
Textile,SoftWear,Polar Jacket L, Black 43,27.3,25.2,"6,3",0.48,False,glass_jar,Compressed_Gas-2,False,0.0,0.0,,,7,1188,2040,2,False,6.3,4334.148,9029.475,False,True,0.0,glass_jar
Shoes,Nike,InfinityRN,,33.6,24.8,"11,0",0.639,False,glass_jar,UN3481-Lithium_Ion_Battery,False,0.0,0.0,,,8,1020,2042,1,False,11.0,9166.080000000002,14344.41314553991,False,True,0.0,glass_jar
Cosmetics,Lumine,Day Cream 50ml,,11.5,13.1,"12,1",0.317,False,cardboard_box,Corrosive-8,True,14.6,14.4,"8,07",stretch_film,9,1102,2002,2,False,12.1,1822.865,5750.362776025237,False,True,2543.904,cardboard_box
Home Decor,HomeArt,Candle Set of 3,,30.4,33.4,"21,1",1.139,False,plastic_box,Compressed_Gas-2,True,34.5,37.4,"25,45",foam_protector,10,1121,2049,3,False,21.1,21424.095999999998,18809.566286215977,False,True,27225.33,plastic_box
