sku;category;brand;model;variant;width_cm;length_cm;height_cm;weight_kg;fragile;package_type;hazard_class;extra_package;extra_width_cm;extra_length_cm;extra_price_usd;extra_type
ADID-03A4CF;Shoes;Adidas;Superstar; Red 36;28,1;20,1;13,0;0,744;False;kraft_envelope;Aerosol-2;False;34.3;24.6;18.25;double_carton
ADID-066EFF;Shoes;Adidas;Runfalcon; White;35,3;18,4;8,7;0,792;False;poly_bag;Corrosive-8;False;34.4;25.2;17.77;foam_protector
ADID-06DD64;Shoes;Adidas;Runfalcon; 36;31,8;16,8;10,9;0,977;False;rigid_box;Aerosol-2;False;31.8;22.5;15.23;foam_protector
ADID-0793C9;Shoes;Adidas;Ultraboost; 38;25,7;22,7;10,9;1,277;False;cardboard_box;Aerosol-2;False;38.0;22.2;18.2;double_carton
ADID-07D0F9;Shoes;Adidas;Ultraboost; Navy 39;28,5;19,8;13,0;0,762;False;poly_bag;;True;33.9;22.8;17.29;corner_guard
ADID-08D3CB;Shoes;Adidas;Duramo; Black;31,9;19,2;10,1;1,315;False;poly_bag;Flammable_Liquid-3;True;32.9;22.0;15.36;double_carton
ADID-0BE8FE;Shoes;Adidas;Duramo; Black 36;32,4;20,3;14,6;1,464;False;metal_box;Flammable_Liquid-3;True;35.6;24.1;18.44;double_carton
ADID-0E15E3;Shoes;Adidas;Grand Court; 42;25,2;22,7;10,1;1,236;False;glass_jar;Corrosive-8;True;29.0;26.7;16.11;foam_protector
ADID-0E359B;Shoes;Adidas;Duramo; Grey 40;28,5;19,7;13,7;0,953;False;kraft_envelope;Compressed_Gas-2;False;;;;
ADID-0FD960;Shoes;Adidas;Runfalcon; Navy 42;31,2;20,4;12,4;1,087;False;kraft_envelope;Compressed_Gas-2;False;;;;
ADID-114326;Shoes;Adidas;Runfalcon; 40;30,4;20,9;11,7;0,953;False;metal_box;UN3481-Lithium_Ion_Battery;False;36.2;24.3;17.69;stretch_film
ADID-120787;Shoes;Adidas;Runfalcon; Black 41;33,0;22,5;12,5;1,215;False;poly_bag;UN3481-Lithium_Ion_Battery;True;35.1;25.2;18.95;air_cushion
ADID-1209D5;Shoes;Adidas;Duramo; Red 43;29,0;21,9;12,6;1,237;False;plastic_box;;False;;;;
ADID-12954B;Shoes;Adidas;Duramo; 38;33,0;22,3;11,9;1,093;False;poly_bag;UN3481-Lithium_Ion_Battery;True;34.8;25.1;18.91;corner_guard
ADID-13F917;Shoes;Adidas;Grand Court; Grey 39;32,5;26,3;11,3;0,877;False;metal_box;Flammable_Liquid-3;True;36.5;27.7;21.2;stretch_film
ADID-144450;Shoes;Adidas;Grand Court; 37;30,8;25,0;10,8;0,955;False;metal_box;Aerosol-2;False;31.7;24.0;17.23;bubble_wrap
ADID-144E2C;Shoes;Adidas;Superstar; Grey 43;34,0;21,7;11,0;0,796;False;glass_jar;Corrosive-8;True;37.4;26.9;20.4;stretch_film
ADID-1502B7;Shoes;Adidas;Duramo; Grey 39;30,1;21,4;10,4;1,323;False;rigid_box;Flammable_Liquid-3;True;32.8;22.8;15.72;corner_guard
ADID-17C231;Shoes;Adidas;Duramo; Black 38;30,3;20,3;13,0;0,579;False;metal_box;Flammable_Liquid-3;False;33.8;23.5;16.41;stretch_film
ADID-1BB8A0;Shoes;Adidas;Runfalcon; Red;31,6;19,3;14,1;1,01;False;plastic_box;Corrosive-8;False;31.6;24.0;16.74;double_carton
ADID-1C4D8A;Shoes;Adidas;Ultraboost; Black 42;32,4;20,1;10,9;0,895;False;kraft_envelope;Flammable_Liquid-3;False;35.4;20.8;16.75;bubble_wrap
ADID-1D2A44;Shoes;Adidas;Ultraboost; 40;30,4;20,9;9,1;1,173;False;kraft_envelope;Aerosol-2;False;;;;
ADID-1E1D39;Shoes;Adidas;Duramo; Red 41;37,3;23,0;12,6;0,909;False;plastic_box;Compressed_Gas-2;True;40.5;27.2;21.28;double_carton
ADID-1F0F16;Shoes;Adidas;Runfalcon; Black;30,8;20,2;11,5;1,3;True;glass_jar;Aerosol-2;False;37.6;23.9;19.4;foam_protector
ADID-2057F5;Shoes;Adidas;Grand Court; White;29,2;19,6;11,7;0,999;False;metal_box;Compressed_Gas-2;True;33.5;21.6;15.35;bubble_wrap
ADID-234E5D;Shoes;Adidas;Superstar; Grey 36;33,0;20,3;10,8;1,079;False;kraft_envelope;Aerosol-2;False;;;;
ADID-250998;Shoes;Adidas;Grand Court; 38;31,5;23,0;11,8;1,017;False;poly_bag;Compressed_Gas-2;True;35.2;26.0;18.23;air_cushion
ADID-27F2EC;Shoes;Adidas;Ultraboost; 43;29,8;20,6;12,8;0,818;False;poly_bag;Compressed_Gas-2;False;;;;
ADID-28EE0B;Shoes;Adidas;Runfalcon; Red 42;31,5;24,0;7,7;1,677;False;cardboard_box;UN3481-Lithium_Ion_Battery;False;;;;
ADID-2C3183;Shoes;Adidas;Runfalcon; White 38;31,5;22,2;12,6;0,905;False;kraft_envelope;Flammable_Liquid-3;False;35.0;24.2;17.84;foam_protector
ADID-2C99FC;Shoes;Adidas;Ultraboost;;29,3;20,7;10,1;1,344;False;kraft_envelope;Flammable_Liquid-3;False;37.5;24.8;18.45;stretch_film
ADID-2CEC7A;Shoes;Adidas;Superstar; Black 43;32,7;19,9;12,8;0,741;False;poly_bag;Aerosol-2;True;36.3;21.2;17.77;foam_protector
ADID-2EBE05;Shoes;Adidas;Runfalcon; Red 36;34,3;18,6;12,2;0,841;False;kraft_envelope;Aerosol-2;True;38.0;21.1;17.51;stretch_film
ADID-2EDAF3;Shoes;Adidas;Superstar; 43;30,9;18,9;13,9;1,329;False;cardboard_box;Corrosive-8;True;35.2;22.5;18.04;corner_guard
ADID-2F89E4;Shoes;Adidas;Ultraboost; 41;28,6;22,8;12,5;1,339;False;rigid_box;Compressed_Gas-2;False;;;;
ADID-30D202;Shoes;Adidas;Superstar; Red 37;33,1;21,2;13,4;1,059;False;plastic_box;Aerosol-2;False;32.8;24.0;17.56;stretch_film
ADID-311543;Shoes;Adidas;Duramo; Grey 37;34,8;21,2;11,2;1,137;False;cardboard_box;Flammable_Liquid-3;False;;;;
ADID-326FF7;Shoes;Adidas;Duramo;;32,0;22,0;11,8;0,888;False;plastic_box;UN3481-Lithium_Ion_Battery;False;34.8;24.7;17.39;corner_guard
ADID-32E1E1;Shoes;Adidas;Runfalcon; Grey 39;31,7;23,4;12,4;1,244;False;poly_bag;Corrosive-8;True;34.4;26.9;19.73;foam_protector
ADID-333CC6;Shoes;Adidas;Duramo; Black 37;36,1;23,9;10,8;1,171;False;rigid_box;Aerosol-2;False;;;;
ADID-371B92;Shoes;Adidas;Grand Court;;32,3;20,1;12,6;0,997;False;poly_bag;Compressed_Gas-2;True;34.2;24.0;17.29;foam_protector
ADID-37DA9A;Shoes;Adidas;Duramo; Navy 36;28,3;20,6;12,0;1,053;False;kraft_envelope;Compressed_Gas-2;True;30.2;23.8;16.9;bubble_wrap
ADID-3819E6;Shoes;Adidas;Ultraboost; Black 43;30,8;17,9;10,7;1,253;False;plastic_box;Corrosive-8;True;34.9;22.2;16.3;air_cushion
ADID-38481B;Shoes;Adidas;Grand Court; Black 40;30,4;21,7;13,4;1,399;False;metal_box;Corrosive-8;True;34.1;24.7;19.26;double_carton
ADID-38EE67;Shoes;Adidas;Runfalcon; Red 38;35,5;18,8;9,3;0,799;False;kraft_envelope;Corrosive-8;False;33.9;23.1;17.92;corner_guard
ADID-3959CA;Shoes;Adidas;Superstar; Black 37;31,3;20,5;13,6;1,06;False;poly_bag;Corrosive-8;True;35.1;24.4;18.06;corner_guard
ADID-3A7CF9;Shoes;Adidas;Duramo; Black 41;31,8;20,2;13,1;1,288;False;plastic_box;Corrosive-8;True;35.2;22.5;17.48;corner_guard
ADID-3AED77;Shoes;Adidas;Grand Court; White 42;30,1;20,2;9,0;0,943;False;rigid_box;Corrosive-8;False;35.1;21.7;17.28;bubble_wrap
ADID-3CA02A;Shoes;Adidas;Superstar; Navy;33,5;22,6;10,4;1,141;False;kraft_envelope;Compressed_Gas-2;False;37.2;25.9;18.95;double_carton
ADID-3DD4EB;Shoes;Adidas;Duramo; Black 43;29,6;22,3;12,9;1,007;False;kraft_envelope;Corrosive-8;True;32.4;25.5;16.89;corner_guard
