basket_id,box_number,box_name,box_type,company,price,utilization,product_ids,categories
2000,1,XS,Electronics,Yurtici,15.49,0.37722417609652786,"[1998, 2510]",['Phone']
2000,2,XLM,Regular,Yurtici,97.2,0.8562217594575894,"[1, 5616]","['Textile', 'Shoes']"
2000,3,XS,Regular,Yurtici,15.49,0.7885151128250001,[7174],['Food Jar']
2001,1,Horizantol L,Regular,Yurtici,81.06,0.7290850758969583,"[1085, 3367]","['Home Decor', 'Toy']"
2001,2,XS,Regular,Yurtici,15.49,0.5861919004104169,[7573],['Laptop']
2002,1,XS,Electronics,Yurtici,15.49,0.5403985361111111,[6355],['Phone']
2002,2,M,Regular,Yurtici,29.45,0.8460922908449224,[9],['Cosmetics']
2002,3,M,Regular,Yurtici,29.45,0.8972512763481006,"[4529, 8736]",['Food Jar']
2003,1,L,Regular,Surat,68.98,0.8897670494422943,[5667],['Textile']
2004,1,XS,Electronics,Yurtici,15.49,0.2816628287958333,[7414],['Phone']
2004,2,XLM,Regular,Yurtici,97.2,0.8633557034142858,[572],['Textile']
2004,3,XS,Regular,Yurtici,15.49,0.31895060253906254,[9489],['Textile']
2005,1,Fresh,Regular,Yurtici,22.11,0.8561629457723077,[1496],['Food Jar']
2005,2,M,Regular,Yurtici,29.45,0.8651684994905615,[3263],['Book']
2005,3,Micro,Regular,Yurtici,12.06,0.283332775,[3294],['Book']
2005,4,M,Regular,Yurtici,29.45,0.8671574526939071,[9686],['Shoes']
2006,1,XXL,Electronics,Surat,96.48,0.8863863097404864,[2],['Appliance']
2006,2,Fruit,Regular,Surat,40.82,0.8041586763262939,[804],['Home Decor']
2006,3,Fruit,Regular,Surat,40.82,0.8788887035486544,[7790],['Laptop']
2006,4,XXL,Regular,Surat,96.48,0.6407772320143411,[9612],['Toy']
2007,1,XS,Regular,Yurtici,15.49,0.8980144600555555,"[1590, 2334]","['Cosmetics', 'Textile']"
2007,2,Micro,Regular,Yurtici,12.06,0.8350905563973333,[3643],['Book']
