product_id,category,basket_id,box_number,box_name,company,price,utilization,box_type,is_electronics_rule,is_electronics_pred,is_electronics_final
1998,Phone,2000,1,XS,Yurtici,15.49,0.3772241760965278,Electronics,1,1,1
2510,Phone,2000,1,XS,Yurtici,15.49,0.3772241760965278,Electronics,1,1,1
1,Textile,2000,2,XLM,Yurtici,97.2,0.8562217594575894,Regular,0,0,0
5616,Shoes,2000,2,XLM,Yurtici,97.2,0.8562217594575894,Regular,0,0,0
7174,Food Jar,2000,3,XS,Yurtici,15.49,0.7885151128250001,Regular,0,0,0
1085,Home Decor,2001,1,Horizantol L,Yurtici,81.06,0.7290850758969583,Regular,0,0,0
3367,Toy,2001,1,Horizantol L,Yurtici,81.06,0.7290850758969583,Regular,0,0,0
7573,Laptop,2001,2,XS,Yurtici,15.49,0.5861919004104169,Regular,1,1,1
6355,Phone,2002,1,XS,Yurtici,15.49,0.5403985361111111,Electronics,1,1,1
9,Cosmetics,2002,2,M,Yurtici,29.45,0.8460922908449224,Regular,0,0,0
4529,Food Jar,2002,3,M,Yurtici,29.45,0.8972512763481006,Regular,0,0,0
8736,Food Jar,2002,3,M,Yurtici,29.45,0.8972512763481006,Regular,0,0,0
5667,Textile,2003,1,L,Surat,68.98,0.8897670494422943,Regular,0,0,0
7414,Phone,2004,1,XS,Yurtici,15.49,0.2816628287958333,Electronics,1,1,1
572,Textile,2004,2,XLM,Yurtici,97.2,0.8633557034142858,Regular,0,0,0
9489,Textile,2004,3,XS,Yurtici,15.49,0.3189506025390625,Regular,0,0,0
1496,Food Jar,2005,1,Fresh,Yurtici,22.11,0.8561629457723077,Regular,0,0,0
3263,Book,2005,2,M,Yurtici,29.45,0.8651684994905615,Regular,0,0,0
3294,Book,2005,3,Micro,Yurtici,12.06,0.283332775,Regular,0,1,1
9686,Shoes,2005,4,M,Yurtici,29.45,0.8671574526939071,Regular,0,0,0
2,Appliance,2006,1,XXL,Surat,96.48,0.8863863097404864,Electronics,1,0,1
804,Home Decor,2006,2,Fruit,Surat,40.82,0.8041586763262939,Regular,0,0,0
7790,Laptop,2006,3,Fruit,Surat,40.82,0.8788887035486544,Regular,1,1,1
9612,Toy,2006,4,XXL,Surat,96.48,0.6407772320143411,Regular,0,0,0
1590,Cosmetics,2007,1,XS,Yurtici,15.49,0.8980144600555555,Regular,0,1,1
2334,Textile,2007,1,XS,Yurtici,15.49,0.8980144600555555,Regular,0,1,1
3643,Book,2007,2,Micro,Yurtici,12.06,0.8350905563973333,Regular,0,1,1
4070,Cosmetics,2007,3,Horizantol M,Yurtici,53.56,0.6191504645238095,Regular,0,0,0
6075,Food Jar,2007,4,XS,Yurtici,15.49,0.5281634162760417,Regular,0,0,0
7338,Phone,2008,1,Micro,Yurtici,12.06,0.2465564444444444,Electronics,1,1,1
9965,Appliance,2008,2,XXL,Yurtici,99.51,0.874444734652718,Electronics,1,0,1
3447,Shoes,2008,3,L,Yurtici,73.91,0.6157004569797024,Regular,0,0,0
3516,Shoes,2008,3,L,Yurtici,73.91,0.6157004569797024,Regular,0,0,0
7827,Shoes,2008,4,XS,Yurtici,15.49,0.66562596105,Regular,0,1,1
5732,Cosmetics,2009,1,Micro,Yurtici,12.06,0.7621211289220741,Regular,0,0,0
7050,Appliance,2010,1,Horizantol M,Yurtici,53.56,0.7699901457025278,Electronics,1,0,1
7769,Phone,2010,1,Horizantol M,Yurtici,53.56,0.7699901457025278,Electronics,1,0,1
321,Food Jar,2010,2,XS,Yurtici,15.49,0.3918205189169271,Regular,0,0,0
2118,Textile,2010,2,XS,Yurtici,15.49,0.3918205189169271,Regular,0,0,0
2021,Appliance,2011,1,L,Yurtici,73.91,0.8432495008678175,Electronics,1,1,1
3857,Textile,2011,2,Horizantol L,Yurtici,81.06,0.6773941024430832,Regular,0,0,0
5551,Shoes,2011,2,Horizantol L,Yurtici,81.06,0.6773941024430832,Regular,0,0,0
8529,Textile,2011,3,Horizantol M,Yurtici,53.56,0.8699162325462668,Regular,0,0,0
9147,Shoes,2011,4,XS,Yurtici,15.49,0.6461653459898439,Regular,0,0,0
629,Home Decor,2012,1,Horizantol L,Yurtici,81.06,0.901348511084,Regular,0,0,0
1702,Home Decor,2012,2,L,Yurtici,73.91,0.7261414262142858,Regular,0,0,0
2214,Food Jar,2012,3,S,Yurtici,16.52,0.8084197517113845,Regular,0,0,0
3327,Cosmetics,2012,4,S,Yurtici,16.52,0.8997036390996926,Regular,0,0,0
4902,Food Jar,2012,5,Horizantol M,Yurtici,53.56,0.7816536058469137,Regular,0,1,1
468,Phone,2013,1,Cardboard Shipping Box No.3,PTT,26.0,0.8113166137981508,Electronics,1,1,1
7385,Phone,2013,1,Cardboard Shipping Box No.3,PTT,26.0,0.8113166137981508,Electronics,1,1,1
396,Food Jar,2014,1,Micro,Yurtici,12.06,0.6486610247840001,Regular,0,0,0
5075,Cosmetics,2014,2,Micro,Yurtici,12.06,0.511105004043852,Regular,0,0,0
5515,Textile,2014,3,L,Yurtici,73.91,0.8713897411999997,Regular,0,0,0
5751,Appliance,2015,1,Horizantol M,Yurtici,53.56,0.6657270831851853,Electronics,1,0,1
2958,Book,2015,2,L,Yurtici,73.91,0.6887325480589286,Regular,0,0,0
6869,Shoes,2015,2,L,Yurtici,73.91,0.6887325480589286,Regular,0,0,0
7156,Textile,2015,3,XS,Yurtici,15.49,0.7111362880343749,Regular,0,0,0
7296,Cosmetics,2016,1,L,Yurtici,73.91,0.8326906862400002,Regular,0,0,0
7608,Shoes,2016,2,Makro,Yurtici,66.93,0.9076468539212008,Regular,0,1,1
